shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
161297,38.747181,-9.104732,21,
161297,38.749498,-9.10488,22,
161297,38.75303,-9.105516,23,
161297,38.754392,-9.10876,24,
161297,38.752813,-9.110326,25,
161297,38.751742,-9.109488,26,
161297,38.752056,-9.112018,27,
161297,38.755094,-9.113547,28,
161297,38.75651,-9.113351,29,
161365,38.714282,-9.169519,1,
161365,38.714841,-9.166506,2,
161365,38.715321,-9.164602,3,
161365,38.714962,-9.16304,4,
161365,38.714089,-9.161715,5,
161365,38.713627,-9.160065,6,
161365,38.712735,-9.157825,7,
161365,38.712568,-9.156345,8,
161365,38.712221,-9.15514,9,
161365,38.71036,-9.152648,10,
161365,38.709803,-9.151728,11,
161365,38.710972,-9.149486,12,
161365,38.710816,-9.146005,13,
161365,38.710486,-9.143816,14,
161365,38.710081,-9.142464,15,
161365,38.70794,-9.142578,16,
161365,38.707962,-9.141422,17,
161365,38.708037,-9.139901,18,
161365,38.709421,-9.137717,19,
161365,38.710048,-9.135271,20,
161365,38.709761,-9.133769,21,
161365,38.710327,-9.13163,22,
161365,38.711581,-9.130576,23,
161365,38.71253,-9.130601,24,
161365,38.712887,-9.129493,25,
161365,38.713507,-9.128725,26,
161365,38.715074,-9.12873,27,
161365,38.717253,-9.129778,28,
161376,38.728351,-9.142957,1,
161376,38.727535,-9.140802,2,
161376,38.727432,-9.138457,3,
161376,38.728017,-9.13678,4,
161376,38.730821,-9.136858,5,
161376,38.731224,-9.135711,6,
161376,38.732666,-9.134208,7,
161376,38.733227,-9.132798,8,
161376,38.732653,-9.130557,9,
161376,38.730546,-9.127489,10,
161376,38.728365,-9.124673,11,
161376,38.725037,-9.122398,12,
161376,38.722732,-9.121495,13,
161376,38.721291,-9.119838,14,
161376,38.720385,-9.118108,15,
161376,38.71678,-9.119137,16,
161376,38.713735,-9.122519,17,
161378,38.713735,-9.122519,1,
161378,38.713531,-9.123471,2,
161378,38.716375,-9.120627,3,
161378,38.718064,-9.118806,4,
161378,38.720461,-9.117811,5,
161378,38.721811,-9.119966,6,
161378,38.723521,-9.121707,7,
161378,38.725767,-9.122426,8,
161378,38.728363,-9.124347,9,
161378,38.730551,-9.127102,10,
161378,38.732109,-9.128295,11,
161378,38.732735,-9.130411,12,
161378,38.733256,-9.132478,13,
161378,38.73246,-9.134401,14,
161378,38.731387,-9.136152,15,
161378,38.730844,-9.137709,16,
161378,38.727798,-9.137629,17,
161378,38.727609,-9.139778,18,
161378,38.727769,-9.142964,19,
161378,38.728351,-9.142957,20,
161411,38.779906,-9.102483,1,
161411,38.779637,-9.104465,2,
161411,38.776416,-9.10278,3,
161411,38.775044,-9.10224,4,
161411,38.774425,-9.106036,5,
161411,38.774242,-9.111261,6,
161411,38.771711,-9.109989,7,
161411,38.769494,-9.112985,8,
161411,38.769084,-9.11732,9,
161411,38.766903,-9.119888,10,
161411,38.764046,-9.119032,11,
161411,38.762622,-9.119658,12,
161411,38.761704,-9.12209,13,
161411,38.762481,-9.130372,14,
161411,38.759463,-9.137137,15,
161411,38.758137,-9.141655,16,
161411,38.756315,-9.146929,17,
161411,38.754808,-9.152563,18,
161411,38.753847,-9.156517,19,
161411,38.750757,-9.158865,20,
161411,38.745341,-9.157034,21,
161411,38.743964,-9.15809,22,
161411,38.741672,-9.157342,23,
161411,38.741315,-9.160291,24,
161411,38.741222,-9.162522,25,
161411,38.742544,-9.168598,26,
161411,38.739162,-9.167512,27,
161411,38.73864,-9.164591,28,
161411,38.737569,-9.164504,29,
161412,38.755739,-9.168599,1,
161412,38.754113,-9.168961,2,
161412,38.752813,-9.167915,3,
161412,38.750002,-9.159708,4,
161412,38.745341,-9.157034,5,
161412,38.743964,-9.15809,6,
161412,38.741672,-9.157342,7,
161412,38.741315,-9.160291,8,
161412,38.741222,-9.162522,9,
161412,38.742577,-9.168298,10,
161418,38.756676,-9.11324,1,
161418,38.753727,-9.114232,2,
161418,38.75222,-9.114031,3,
161418,38.747965,-9.11292,4,
161418,38.74634,-9.112979,5,
161418,38.744135,-9.113686,6,
161418,38.743073,-9.111799,7,
161418,38.74432,-9.110745,8,
161418,38.748252,-9.108782,9,
161418,38.749791,-9.103277,10,
161418,38.748977,-9.132888,11,
161418,38.749131,-9.136327,12,
161418,38.749242,-9.138289,13,
161418,38.748711,-9.146651,14,
161418,38.747207,-9.14842,15,
161418,38.745823,-9.148119,16,
161433,38.726201,-9.140891,1,
161433,38.727769,-9.142964,2,
161433,38.726621,-9.145091,3,
161433,38.725156,-9.146197,4,
161433,38.722917,-9.149263,5,
161433,38.721689,-9.151571,6,
161433,38.720248,-9.15489,7,
161433,38.721471,-9.156386,8,
161433,38.723216,-9.160121,9,
161433,38.721059,-9.160979,10,
161433,38.720971,-9.163546,11,
161433,38.720234,-9.165447,12,
161433,38.718395,-9.166245,13,
161433,38.718335,-9.169367,14,
161433,38.716991,-9.169629,15,
161433,38.714256,-9.169982,16,
161435,38.6995,-9.227799,1,
161435,38.699497,-9.228493,2,
161435,38.699548,-9.2321,3,
161435,38.699268,-9.237516,4,
161435,38.70028,-9.240924,5,
161435,38.700734,-9.244743,6,
161435,38.700347,-9.246994,7,
161435,38.701032,-9.24951,8,
161435,38.701863,-9.251348,9,
161435,38.703368,-9.251435,10,
161435,38.705168,-9.252527,11,
161436,38.705168,-9.252527,1,
161436,38.701897,-9.251453,2,
161436,38.701007,-9.249701,3,
161436,38.700272,-9.246881,4,
161436,38.700625,-9.244713,5,
161436,38.700142,-9.240446,6,
161436,38.699184,-9.23749,7,
161436,38.699417,-9.232097,8,
161436,38.699236,-9.230712,9,
161436,38.699403,-9.228571,10,
161436,38.6995,-9.227799,11,
161441,38.722194,-9.128725,1,
161441,38.723879,-9.129382,2,
161441,38.725973,-9.129944,3,
161441,38.728519,-9.130836,4,
161441,38.729168,-9.129892,5,
161441,38.730414,-9.127801,6,
161441,38.732109,-9.128295,7,
161441,38.732735,-9.130411,8,
161441,38.733344,-9.132793,9,
161479,38.746958,-9.220184,1,
161479,38.745616,-9.222064,2,
161479,38.743792,-9.220207,3,
161479,38.745821,-9.217526,4,
161479,38.746835,-9.216218,5,
161479,38.74597,-9.212384,6,
161479,38.743987,-9.211066,7,
161479,38.741798,-9.211704,8,
161479,38.74075,-9.208896,9,
161479,38.741726,-9.206607,10,
161479,38.743861,-9.205517,11,
161479,38.74511,-9.202743,12,
161479,38.744722,-9.199043,13,
161479,38.74426,-9.1943,14,
161479,38.744487,-9.192036,15,
161479,38.746335,-9.189654,16,
161479,38.748546,-9.191213,17,
161479,38.752893,-9.188177,18,
161479,38.757273,-9.185411,19,
161479,38.759825,-9.185002,20,
161479,38.76002,-9.182754,21,
161479,38.75826,-9.179998,22,
161479,38.756639,-9.177825,23,
161479,38.754522,-9.175604,24,
161479,38.749664,-9.172603,25,
161479,38.747745,-9.17126,26,
161479,38.745266,-9.169313,27,
161479,38.746293,-9.167894,28,
161479,38.748018,-9.165407,29,
161479,38.749996,-9.15935,30,
161479,38.751401,-9.158766,31,
161479,38.752644,-9.159405,32,
161566,38.740594,-9.137556,1,
161566,38.742369,-9.137569,2,
161566,38.742141,-9.134454,3,
161566,38.743412,-9.132416,4,
161566,38.745694,-9.131128,5,
161566,38.7496,-9.13075,6,
161566,38.7526,-9.13046,7,
161566,38.755087,-9.130205,8,
161566,38.757914,-9.129931,9,
161566,38.762168,-9.129477,10,
161566,38.767825,-9.128712,11,
161566,38.769828,-9.126596,12,
161566,38.770198,-9.123142,13,
161566,38.770812,-9.121557,14,
161566,38.7727,-9.11838,15,
161566,38.774067,-9.116782,16,
161566,38.776734,-9.117893,17,
161566,38.77707,-9.1159,18,
161566,38.776092,-9.113833,19,
161566,38.775372,-9.110767,20,
161566,38.776889,-9.109985,21,
161566,38.779421,-9.110911,22,
161566,38.781083,-9.11036,23,
161566,38.78244,-9.108381,24,
161568,38.78244,-9.108381,1,
161568,38.783939,-9.109829,2,
161568,38.783803,-9.112503,3,
161568,38.781942,-9.113994,4,
161568,38.781007,-9.11183,5,
161568,38.779076,-9.111088,6,
161568,38.776781,-9.110206,7,
161568,38.775077,-9.111413,8,
161568,38.776049,-9.113543,9,
161568,38.777166,-9.116168,10,
161568,38.7763,-9.11801,11,
161568,38.773574,-9.118671,12,
161568,38.771084,-9.121878,13,
161568,38.769616,-9.123139,14,
161568,38.770196,-9.127342,15,
161568,38.768962,-9.127978,16,
161568,38.762109,-9.129801,17,
161568,38.758253,-9.130187,18,
161568,38.753794,-9.130617,19,
161568,38.7519,-9.130818,20,
161568,38.747994,-9.131192,21,
161568,38.7452,-9.131551,22,
161568,38.743292,-9.132833,23,
161568,38.742369,-9.134479,24,
161568,38.742512,-9.136343,25,
161568,38.740594,-9.137556,26,
161569,38.720609,-9.137991,1,
161569,38.722417,-9.139842,2,
161569,38.722951,-9.141864,3,
161569,38.725027,-9.144017,4,
161569,38.726885,-9.145686,5,
161569,38.725565,-9.148617,6,
161569,38.725307,-9.151907,7,
161569,38.725106,-9.155305,8,
161569,38.724375,-9.160904,9,
161569,38.723244,-9.166678,10,
161569,38.725342,-9.194078,11,
161569,38.721733,-9.197113,12,
161569,38.71774,-9.199562,13,
161569,38.713587,-9.200493,14,
161569,38.713717,-9.198483,15,
161569,38.713933,-9.196977,16,
161569,38.713411,-9.202661,17,
161569,38.714581,-9.204523,18,
161569,38.715155,-9.208012,19,
161569,38.711913,-9.211714,20,
161569,38.715797,-9.214703,21,
161569,38.716945,-9.212807,22,
161569,38.71157,-9.214863,23,
161569,38.709701,-9.215458,24,
161569,38.706058,-9.216385,25,
161569,38.701402,-9.216784,26,
161569,38.699117,-9.217588,27,
161569,38.696604,-9.220495,28,
161569,38.69836,-9.225053,29,
161569,38.69877,-9.227479,30,
161570,38.720609,-9.137991,1,
161570,38.722417,-9.139842,2,
161570,38.722951,-9.141864,3,
161570,38.725027,-9.144017,4,
161570,38.726885,-9.145686,5,
161570,38.725565,-9.148617,6,
161570,38.725307,-9.151907,7,
161570,38.725106,-9.155305,8,
161570,38.724375,-9.160904,9,
161570,38.723244,-9.166678,10,
161570,38.725342,-9.194078,11,
161570,38.721733,-9.197113,12,
161570,38.71774,-9.199562,13,
161570,38.713411,-9.202661,14,
161570,38.714581,-9.204523,15,
161570,38.715155,-9.208012,16,
161570,38.711913,-9.211714,17,
161570,38.715797,-9.214703,18,
161570,38.716945,-9.212807,19,
161570,38.71157,-9.214863,20,
161570,38.709701,-9.215458,21,
161570,38.706058,-9.216385,22,
161570,38.701402,-9.216784,23,
161570,38.699117,-9.217588,24,
161570,38.696604,-9.220495,25,
161570,38.69836,-9.225053,26,
161570,38.69877,-9.227479,27,
161573,38.76799,-9.100009,1,
161573,38.768475,-9.098836,2,
161573,38.771557,-9.097346,3,
161573,38.7745,-9.097095,4,
161573,38.775044,-9.10224,5,
161573,38.77424,-9.106243,6,
161573,38.776265,-9.111018,7,
161573,38.777535,-9.113185,8,
161573,38.779231,-9.116263,9,
161573,38.781644,-9.119414,10,
161573,38.783563,-9.124536,11,
161573,38.785864,-9.123835,12,
161573,38.788411,-9.123737,13,
161573,38.790108,-9.123886,14,
161573,38.791228,-9.120914,15,
161573,38.792745,-9.121603,16,
161574,38.76799,-9.100009,1,
161574,38.768475,-9.098836,2,
161574,38.771557,-9.097346,3,
161574,38.7745,-9.097095,4,
161574,38.775044,-9.10224,5,
161574,38.77424,-9.106243,6,
161574,38.775077,-9.111413,7,
161574,38.776049,-9.113543,8,
161574,38.777166,-9.116168,9,
161574,38.779376,-9.120132,10,
161574,38.781644,-9.119414,11,
161574,38.783563,-9.124536,12,
161574,38.785864,-9.123835,13,
161574,38.788411,-9.123737,14,
161574,38.790108,-9.123886,15,
161574,38.791228,-9.120914,16,
161574,38.792745,-9.121603,17,
161575,38.792745,-9.121603,1,
161575,38.791489,-9.123335,2,
161575,38.790195,-9.123126,3,
161575,38.788306,-9.123888,4,
161575,38.786098,-9.12392,5,
161575,38.783924,-9.124792,6,
161575,38.781403,-9.120347,7,
161575,38.779063,-9.116294,8,
161575,38.77758,-9.113709,9,
161575,38.775849,-9.111081,10,
161575,38.773794,-9.10476,11,
161575,38.77478,-9.101771,12,
